age_CE  trsgi   numsamp
1726    1115     16
1727     955     16
1728    1083     16
1729     880     15
1730    1187     16
1731    1180     16
1732     963     16
1733     967     16
1734     989     16
1735    1037     16
1736    1021     16
1737    1089     17
1738    1226     17
1739     979     17
1740     988     17
1741    1051     17
1742    1100     17
1743     974     17
1744     911     17
1745     990     17
1746     969     17
1747    1027     17
1748     920     17
1749     964     17
1750     950     17
1751     842     17
1752     963     17
1753    1140     17
1754    1156     17
1755    1159     17
1756     921     17
1757    1080     17
1758    1221     17
1759    1030     17
1760     990     17
1761    1177     17
1762    1023     17
1763     999     17
1764     981     17
1765     916     17
1766    1104     17
1767    1098     17
1768    1205     17
1769    1057     17
1770     988     17
1771     854     17
1772    1111     17
1773    1127     17
1774    1240     17
1775    1185     17
1776     970     17
1777     618     17
1778     736     17
1779    1134     17
1780    1184     17
1781    1003     17
1782     901     17
1783     865     17
1784    1083     17
1785    1124     17
1786    1094     17
1787    1080     17
1788     957     17
1789     960     17
1790    1015     17
1791     946     17
1792     978     17
1793     956     17
1794     910     17
1795     733     17
1796     913     17
1797    1164     17
1798    1118     17
1799     982     17
1800     988     17
1801    1061     16
1802    1102     16
1803     976     16
1804     913     16
1805     935     16
1806     871     16
1807     859     16
1808     896     16
1809    1087     16
1810    1082     16
1811    1135     15
1812     865     15
1813     885     15
1814    1104     15
1815    1045     15
1816     973     15
1817     864     15
1818     779     15
1819     773     15
1820     814     15
1821     915     15
1822     875     15
1823     944     15
1824     975     15
1825    1039     15
1826    1047     15
1827     894     15
1828     986     15
1829     950     15
1830     940     15
1831    1175     15
1832    1278     15
1833    1046     15
1834    1041     15
1835    1002     15
1836    1025     15
1837    1066     15
1838     838     15
1839     776     15
1840     818     15
1841     735     15
1842    1031     15
1843    1014     15
1844    1025     15
1845    1136     15
1846    1066     15
1847    1148     14
1848     979     14
1849    1040     14
1850    1018     14
1851     887     14
1852     923     14
1853    1031     14
1854     925     14
1855     962     14
1856     997     14
1857    1053     14
1858     972     14
1859    1059     14
1860    1033     13
1861    1020     13
1862     788     12
1863     853     12
1864     722     12
1865     793     12
1866     961     12
1867    1092     12
1868    1004     12
1869     956     12
1870     906     12
1871    1011     12
1872    1007     12
1873    1111     12
1874     942     12
1875    1114     12
1876    1119     12
1877    1110     12
1878    1022     12
1879    1107     12
1880    1057     12
1881    1205     13
1882    1100     13
1883    1094     13
1884    1114     13
1885    1253     13
1886    1161     13
1887    1226     13
1888    1211     14
1889    1133     14
1890    1143     14
1891    1185     14
1892    1097     14
1893    1154     14
1894    1198     14
1895    1080     14
1896    1065     14
1897    1156     14
1898     876     14
1899     959     14
1900    1202     13
1901    1060     13
1902     902     13
1903    1025     13
1904     986     13
1905     947     13
1906    1029     13
1907    1021     13
1908     939     13
1909     907     13
1910     952     13
1911     780     13
1912     841     13
1913     833     13
1914     797     13
1915     823     13
1916     930     13
1917     969     13
1918     757     13
1919     873     13
1920     852     13
1921     917     13
1922     863     13
1923     839     13
1924     383     13
1925     755     13
1926     695     13
1927     733     13
1928     878     13
1929     863     13
1930     882     13
1931     601     13
1932     703     13
1933     910     13
1934     835     13
1935     781     13
1936     941     13
1937     868     13
1938     899     13
1939     911     13
1940     919     13
1941    1000     13
1942    1137     13
1943    1140     12
1944     994     12
1945    1075     12
1946    1070     12
1947     845     12
1948     966     12
1949    1035     12
1950    1090     12
1951    1235     12
1952    1174     12
1953    1133     12
1954    1270     12
1955    1066     12
1956    1083     12
1957    1070     12
1958    1279     12
1959     677     12
1960     907     12
1961     760     12
1962     915     12
1963    1040     12
1964    1142     12
1965    1216     12
1966     985     12
1967    1068     12
1968    1116     12
1969    1255     12
